,uuid,name,creditname,identifier,title,authorname,url,imgurl
240038,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910220949363231490,оригинальный звук,Артур,https://www.tiktok.com/music/----------------------------------6910220949363231490,https://p16-sg.tiktokcdn.com/musically-maliva-obj/1663972535427078~c5_720x720.jpeg
240039,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6918348902190091010,เสียงต้นฉบับ - P'paj yeeb lauj,ลูกสาวเดี่ยว,https://www.tiktok.com/music/---------------------------------------P-paj-yeeb-lauj-6918348902190091010,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/4b389360df799406e2a66351c04615c1.jpeg
240040,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909986225965255426,เสียงต้นฉบับ - Wirawan,Wirawan,https://www.tiktok.com/music/---------------------------------------Wirawan-6909986225965255426,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/30d08da3222f0cd266330fcea2c641ba.jpeg
240041,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910365179448412930,เสียงต้นฉบับ - รักนะงับ❌♡,shopนายขนมหวาน,https://www.tiktok.com/music/----------------------------------------------------------------------6910365179448412930,https://p16-sg.tiktokcdn.com/tos-useast2a-avt-0068-aiso/45f074957c27ed4c00207f6f5d95238a~c5_720x720.jpeg
240042,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909784811242572545,မူရင်းအသံ - မိ တစ္လြဲ စိန္💞💞💗,မိ တစ္လြဲ စိန္💞💞💗,https://www.tiktok.com/music/---------------------------------------------------------------------------------6909784811242572545,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/2a205edde5ba4ec9f6c043327699df31.jpeg
240043,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909738200072276737,မူရင်းအသံ - မိအိန္ရံိမန္😍,😍Eaindar mon😍,https://www.tiktok.com/music/-----------------------------------------------------------------------6909738200072276737,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/dd20169a7a54ecdbe09d921440e6708b.jpeg
240044,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910049100926896898,សំឡេងដើម - @MAk   LEAK  single😍,@MAk   LEAK  single😍,https://www.tiktok.com/music/----------------------------MAk---LEAK--single-----6910049100926896898,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/0894d968f62ec895c3f0a4683eddbd0e.jpeg
240045,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909779375831599873,សំឡេងដើម - Konkanta,Tik Toker,https://www.tiktok.com/music/---------------------------Konkanta-6909779375831599873,https://p16-sg.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_720x720.jpeg
240046,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909794830327532290,សំឡេងដើម - សេង សុខា,សេង សុខា,https://www.tiktok.com/music/--------------------------------------------------6909794830327532290,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/c10560008401751e232df0bc841e5ee4.jpeg
240047,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910025003111058178,សំឡេងដើម - 🌼 𝔸𝕙 𝕋𝕒 🌼,🌼 𝔸𝕙 𝕋𝕒 🌼,https://www.tiktok.com/music/-------------------------------------------------------6910025003111058178,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/d24ce352f051026127baac7f795f16ca.jpeg
240048,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6909620635245366017,សំឡេងដើម - 🔰정국🔞Bëë Nhä👼🏻IU,🔰정국🔞𝖡𝖾̈𝖾̈ 𝖭𝗁𝖺̈👼🏻𝖨𝖴,https://www.tiktok.com/music/-----------------------------------------B-----Nh----------IU-6909620635245366017,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/357f3faa2eb7a01695deadfe85a23538.jpeg
240049,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6917950597299718914,オリジナル楽曲 - 🌸koa🦄💙,🌸koa🦄💙,https://www.tiktok.com/music/----------------------------koa---------6917950597299718914,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/0045010d3ef5318a4d4063670d9fccb0.jpeg
240050,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910583247030225670,原聲,Yuyunnnn,https://www.tiktok.com/music/-------6910583247030225670,https://p16-sg.tiktokcdn.com/tos-maliva-avt-0068/00000258c902f8fd53a83135cac57d3f~c5_720x720.jpeg
240051,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910194448144075521,原聲 - aboo0928,aboo0928,https://www.tiktok.com/music/---------aboo0928-6910194448144075521,https://p16-sg.tiktokcdn.com/aweme/720x720/tiktok-obj/b9acafb0ad432aba64e1fa2a4ddd33ed.jpeg
240052,b23f75b8-40e6-49fc-88ca-48c7b6beacd3,Christmas Jingle Bells Jingle Bells,Wakidi,6910222152935410434,原聲 - SharonChai,SharonChai,https://www.tiktok.com/music/---------SharonChai-6910222152935410434,https://p16-sg.tiktokcdn.com/aweme/720x720/tiktok-obj/1645306820388865.jpeg
240053,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,7086474327213738779,original sound,Z.N.B,https://www.tiktok.com/music/x-7086474284067081498,https://p16-sg.tiktokcdn.com/tos-useast2a-avt-0068-giso/3478d4773449d268dd34df95e928118b~c5_720x720.jpeg
240054,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,6918632194135509762,original sound,🔥Lovely_Ak🔥,https://www.tiktok.com/music/original-sound-6918632194135509762,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/bb6320596e05b75f763a9fbb20ae621e.jpeg
240055,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,6918254439547538177,original sound,Habib Minhas,https://www.tiktok.com/music/original-sound-6918254439547538177,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/313512e77a0437a8a6c9bee300fe5cfe.jpeg
240056,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,6913521466717817602,original sound,Hanju Syed Official,https://www.tiktok.com/music/original-sound-6913521466717817602,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/cf9988668535faa0d8c6110c5c71062a.jpeg
240057,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,6905544424781056770,original sound,💫 ShAR-BaL0c|-|🔥,https://www.tiktok.com/music/original-sound-6905544424781056770,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/1c55b611430d92e6ea0e8027dad11e35.jpeg
240058,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,6914972145634380545,original sound,Basit Saith ,https://www.tiktok.com/music/original-sound-6914972145634380545,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/b7afa1771998b441f44c46864afd617a.jpeg
240059,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,7087209162173729563,original sound,حیدر علی 😍😍😍,https://www.tiktok.com/music/x-7087209168548941083,https://p16-sg.tiktokcdn.com/tos-useast2a-avt-0068-giso/cd7132653515e27ec44383c9612bc154~c5_720x720.jpeg
240060,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,7093499611259685658,original sound,💜💜BTS Army 💜💜,https://www.tiktok.com/music/original-sound-7093499611259685658,https://p16-sg.tiktokcdn.com/tos-useast2a-avt-0068-giso/2c328d9e81f22f0e5088cee8355a3cad~c5_720x720.jpeg
240061,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,6912408991335271170,original sound,Hasham,https://www.tiktok.com/music/original-sound-6912408991335271170,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/fc2c0cabcaebb6cba863459d04990e5b.jpeg
240062,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,7085412014369934107,original sound,Sk suhan,https://www.tiktok.com/music/x-7085412045323128091,https://p16-sg.tiktokcdn.com/tos-useast2a-avt-0068-giso/030ced92a773ceeb9578472a077b4f57~c5_720x720.jpeg
240063,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,7093700241769237274,original sound,DC=AWAN =SABB=🇵🇰,https://www.tiktok.com/music/x-7093700295909313818,https://p16-sg.tiktokcdn.com/tos-useast2a-avt-0068-giso/3a0c624de2d2bc5a2e19f4af1f3fab88~c5_720x720.jpeg
240064,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,6905768319589141250,original sound,Tik Toker,https://www.tiktok.com/music/original-sound-6905768319589141250,https://p16-sg.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_720x720.jpeg
240065,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,7092391251496176411,original sound,abed klamti,https://www.tiktok.com/music/x-7092391260811431194,https://p16-sg.tiktokcdn.com/tos-useast2a-avt-0068-giso/110d9e7c21a3f004d80a01b658998e5b~c5_720x720.jpeg
240066,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,7093205215511415579,original sound,아호나💜,https://www.tiktok.com/music/x-7093205238408170779,https://p16-sg.tiktokcdn.com/tos-useast2a-avt-0068-giso/b49248863500089f30bdf71f81ef2b52~c5_720x720.jpeg
240067,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,7089779946101410586,original sound,Sardar Shahbaz Khan,https://www.tiktok.com/music/x-7089779939133918490,https://p16-sg.tiktokcdn.com/tos-useast2a-avt-0068-giso/09e32d2d2c76c679a4639df4759b9523~c5_720x720.jpeg
240068,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,6918946039474981634,original sound,GÁñSTër,https://www.tiktok.com/music/original-sound-6918946039474981634,https://p16-sg.tiktokcdn.com/tos-useast2a-avt-0068-aiso/61d122f988d34842c25c0b3564fcc3a3~c5_720x720.jpeg
240069,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,6912639562045000449,original sound,🔥Niàzi🔥,https://www.tiktok.com/music/original-sound-6912639562045000449,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/fc247974f5ddfec934f2815e3d305829.jpeg
240070,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,6917825646861585153,original sound,Zahid_KinG_BaLocH,https://www.tiktok.com/music/original-sound-6917825646861585153,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-avt-0068/7a5d8f9b0987bf32e16a3ca6ce921bb8.jpeg
240071,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,7092154226779933445,original sound,user1196087144049,https://www.tiktok.com/music/x-7092154248623918341,https://p77-sign-va-lite.tiktokcdn.com/tos-maliva-avt-0068/d4aff25f6828644f5dea75c92da115ac~c5_720x720.jpeg
240072,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,7092038745221843738,original sound,shabbirkhankakar07,https://www.tiktok.com/music/x-7092038751030873371,https://p16-sg.tiktokcdn.com/tos-useast2a-avt-0068-giso/46fb18291545c70f6b73160513f7a189~c5_720x720.jpeg
240073,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,6913848110607305473,original sound,shaheenMalik,https://www.tiktok.com/music/original-sound-6913848110607305473,https://p16-sg.tiktokcdn.com/aweme/720x720/tiktok-obj/dddf7088a2954266048156019443aaf8.jpeg
240074,eecec576-b2b8-4bf6-bac0-f0576c7b1e3b,Mera Koi Ghar Nahi,Collab Zone,7093066825050655514,original sound,mastqalandar786,https://www.tiktok.com/music/x-7093066834978557211,https://p16-sg.tiktokcdn.com/tos-useast2a-avt-0068-giso/cf3dd59dadd3976700d4fe7eb22bba9b~c5_720x720.jpeg
